taxon	taxon_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	pbdb_occurrences	specimen_no	lat	lng	utm	paleo_lng	paleo_lat	higher_than	id	comments
Ichthyosauria	clade			Hettangian			Quebrada Pan de Azúcar, Parque Nacional Pan de Azúcar, Chile	CL	PardoPerez2015POMNHNC		MPC.1605-1610	-26.05	-70.5						
Ichthyosauria	clade			middle Bajocian	Lautaro Formation		Quebrada La Iglesia, Manflas, III Región, Chile	CL	PardoPerez2015POMNHNC		T.331, T.332, T.337, T.338, T.342	-28.133333	-69.883333						
Ichthyosauria	clade			Middle Jurassic–Lower Cretaceous	Tobifera–Zapata formations		Río de Los Hielos, Parque Nacional Torres del Paine, Región de Magallanes	CL	PardoPerez2015POMNHNC			-51.083333	-73.3						
Platypterygius hauthali?	species			Valanginian–Hauterivian	Zapata Formation		Tyndall Glacier, Parque Nacional Torres del Paine, Región de Magallanes, Chile	CL	PardoPerez2015POMNHNC		TY11	-51.1	-73.3						
Ophthalmosauridae	clade			Valanginian–Hauterivian	Zapata Formation		Tyndall Glacier, Parque Nacional Torres del Paine, Región de Magallanes, Chile	CL	PardoPerez2015POMNHNC		TY17, TY25, TY03	-51.1	-73.3						
Ichthyosaurus cf. communis	species			Sinemurian	Coimbra Formation		Praia de Nossa Senhora da Victória, Alcobaça, Portugal	PT	Zbyszewski1952DGMESG,Sousa2021FR		IST-MDT 85	39.706944	-9.051111						
Ichthyosauria	clade			Sinemurian	Coimbra Formation		Praia de Nossa Senhora da Victória, Alcobaça, Portugal	PT	Zbyszewski1952DGMESG,Sousa2021FR		IST-MDT 104, IST-MDT 103	39.706944	-9.051111						
Ichthyosauria	clade			Sinemurian			Águas de Madeiros, Portugal	PT	Zbyszewski1952DGMESG,daVeigaFerreira1958CSGP,Sousa2021FR		MG 4748	39.73700	-9.04151						
Ichthyosauria	clade			Sinemurian			São Pedro de Moel, Portugal	PT	Zbyszewski1952DGMESG,Sousa2021FR		MG 4745	39.75910	-9.03253						
Ichthyosauria	clade			Pliensbachian			Alvaiázere, Portugal	PT	daVeigaFerreira1958CSGP,Sousa2021FR		MG 25184	39.82394	-8.38324						
Ichthyosauria	clade			Pliensbachian			Praia de Nossa Senhora da Victória, Alcobaça, Portugal	PT	daVeigaFerreira1958CSGP,Sousa2021FR		MG 4749	39.706944	-9.051111						
Ichthyosauria	clade			Pliensbachian			Pintanheira, Portugal	PT	Sousa2021FR		MG 4751, MG 4747, MG 4755	39.72773	-9.04559						
Ichthyosauria	clade			Toarcian			Condeixa, Portugal	PT	daVeigaFerreira1958CSGP,Sousa2021FR		MG 25182, MG 25183	40.11278	-8.49946						
Ichthyosauria	clade			Aalenian			Alhadas, Portugal	PT	Sousa2021FR		MG 36	40.18254	-8.79068						
Ichthyosauria	clade			Aalenian			Tomar, Portugal	PT	daVeigaFerreira1958CSGP,Sousa2021FR		MG 4743, MG 4753	39.60423	-8.40138						
Ichthyosauria	clade			Sinemurian–Aalenian			Cadima, Portugal	PT	Sousa2021FR		MG 4752	40.32552	-8.64132						
Ichthyosauria	clade			Sinemurian–Aalenian			Murtede, Portugal	PT	Sousa2021FR		MG 35	40.34618	-8.51202						
Ichthyosauria	clade			Sinemurian–Aalenian			Portugal	PT	Sousa2021FR		MG 25186								
Ichthyosauria	clade			Sinemurian–Aalenian			Casal Comba, Portugal	PT	daVeigaFerreira1958CSGP,Sousa2021FR		MG 4746	40.36691	-8.46713						
Ophthalmosauridae	clade			Tithonian	Chatillon Clays	gigas Ammonoid Biozone	Condette, Boulogne-sur-Mer, France	FR	Bardet2006FEWVP		BHN2R-1200	50.65945	1.65472						described as Ophthalmosaurus sp.
Jabalisaurus meztli	species			late Kimmeridgian	coquina layeer, La Caita Formation		Sierra El Jabalí, near Gómez Farías, Saltillo, Caohuila, Mexico	MX	BarrientosLara2021JSAES		CPC 238	24.95246	-100.94193						
Sumpalla argentina	species			late middle–early late Tithonian	Los Catutos Member, Vaca Muerta Formation	Aulacosphinctes proximus–Windhauseniceras internispinosum ammonoid biozones	El Ministerio Quarry, Los Catutos, Zapala Department, Neuquén Province, Argentina	AR	Campos2021PP		MOZ-PV 5788	-38.80829	-70.18219						
Stenopterygius quadriscissus	species			early Toarcian	Posidonienschiefer Formation εII6	Harpoceras falciferum Ammonoid Biozone, elegans Ammonoid Subbiozone	Kirschmann Quarry, Baden-Württemberg, Germany	DE	Dick2015P		SMNS 81841	48.59861	9.50054						
Ichthyosaurus breviceps	species			Hettangian–Pliensbachian	Lias Group		Lyme Regis, Dorset, UK	GB	Taylor2014GSE		NHMUK PV R8437	50.72954	2.92626						
Tholodus cf. schmidi	species			middle Anisian	Karazin Formation	Acrochordiceras kiparisovae Ammonoid Biozone	Paris Bay–Ussuri Bay, Russky isalnd, South Primorye, Russia	RU	Zakharov2015RJPG,Arkhangelsky2016PJ	1412635	SGTU MEZ 4/3	43.002306	131.919944						
Ichthyosauria	clade			Ladinian	Daonella shales, Spitnikovskaya Formation		Amur Bay, Cape Ugol'nyi, South Primorye, Russia	RU	Zakharov2015RJPG			43.18592	131.68401						
Ichthyosauria	clade			Ladinian	Daonella shales, Spitnikovskaya Formation	Ptychites ammonoids	Amur Bay, Cape Ugol'nyi, South Primorye, Russia	RU	Zakharov2015RJPG			43.243106	131.762839						
Ichthyosauria	clade			Anisian	Karazon Formation		Akhlestyshev Cape, Russky Island, South Primorye, Russia	RU	Zakharov2015RJPG			42.968853	131.906419						
Ichthyosauria	clade			Olenekian		Neocolumbites insignis Ammonoid Biozone	Zhitkov Cape, Russky Island, South Primorye, Russia	RU	Zakharov2015RJPG			43.022264	131.934786						
Ichthyosauria	clade			Olenekian		Anasibirites nevolini Ammonoid Biozone	Artem, South Primorye, Russia	RU	Zakharov2015RJPG			43.319069	132.168372						
Ichthyosauria	clade			Hettangian lower substage			Olenek River Basin, Kyra-Khos-Teryuttekh River, Siberia, Russia	RU	Rogov2019SGC			71.7793	120.8922						
Ichthyosauria	clade			Pliensbachian upper substage	Domerian clay member		Vilyui River basin, Tenkensakaya Nyuchuku River, Outcrop 12, Siberia, Russia	RU	Rogov2019SGC			61.9545	116.6268						
Ichthyosauria	clade			Toarcian			Basin of the Vilyui River, Markha River, Siberia, Russia	RU	Rogov2019SGC			63.6	116.5						
Ichthyosauria	clade			Toarcian upper substage			Basin of the Vilyui River, Ygyatta River, Siberia, Russia	RU	Rogov2019SGC			63.38410	115.73305						
Ichthyosauria	clade			Toarcian upper substage			Vilyui River, Siberia, Russia	RU	Rogov2019SGC			61.9	117.37						
Ichthyosauria	clade			Toarcian lower substage			Anabar River, Siberia, Russia	RU	Rogov2019SGC			72.05531	113.93715						
Ichthyosauria	clade			Toarcian–Aalenian			To the north of the Baybykan River, on the Dorukchan River, Siberia, Russia	RU	Rogov2019SGC			64.21892	130.34969						
Ichthyosauria	clade			Aalenian lower substage			Left bank of the Molodo River, 5 km downstream of the mouth of the Syugyude River, Siberia, Russia	RU	Rogov2019SGC			69.22141	123.03859						
Ichthyosauria	clade			Bajocian			Vilyui River basin, mouth of the Tyung River, Siberia, Russia	RU	Rogov2019SGC			63.77012	121.54607						
Ophthalmosauridae	clade			Kimmeridgian			Levaya Boyarka River (Outcrop 23), Siberi, Russia	RU	Rogov2019SGC			70.3419	97.1829						
Ichthyosauria	clade			Volgian middle substage			Byrranga Mountains, Dyabaka-Tari River, Siberia, Russia	RU	Rogov2019SGC			74.10932	97.56308						
Ichthyosauria	clade			Volgian middle–upper substages			Levaya Boyarka River (Outcrop 23), Siberi, Russia	RU	Rogov2019SGC			70.570	97.306						
Ichthyosauria	clade			Volgian middle–upper substages			Urdyuk-Khaya Cape, Siberia, Russia	RU	Rogov2019SGC			73.87060	113.16783						
Ichthyosauria	clade			Toarcian			Left bank of the Kelimyar River, 3.5 km south of the mouth of the Hotugu-MuyokandaYurege River, Siberia, Russia	RU	Rogov2019SGC			71.35149	125.75580						
Ophthalmosauridae	clade			Volgian upper substages			Kheta River, Outcrops 18–19, Siberia, Russia	RU	Rogov2019SGC			70.54938	95.3228						
Ichthyosauria	clade			Valanginian			Anabar River, village of Yuryung-Khaya, Siberia, Russia	RU	Rogov2019SGC			72.8108	113.2321						originally identified as Yasykovia sp.
Catutosaurus gaspariniae	species			late middle–early late Tithonian	Los Catutos Member, Vaca Muerta Formation	Aulacosphinctes proximus–Windhauseniceras internispinosum ammonoid biozones	El Ministerio Quarry, Los Catutos, Zapala Department, Neuquén Province, Argentina	AR	Fernandez2021JVP	1565746	MOZ-PV-1854	-38.80829	-70.18219						
Catutosaurus gaspariniae	species			late middle–early late Tithonian	Vaca Muerta Formation		Pampa Tril-Yesera del Tromen, Neuquén Province, Argentina	AR	Fernandez2021JVP		MOZ-PV-103	-37.29099	-69.78440						
Catutosaurus gaspariniae	species			late middle–early late Tithonian	Vaca Muerta Formation		Cerro Lotena, Neuquén Province, Argentina	AR	Fernandez2021JVP		MOZ-PV-7260	-39.23361	-69.79856						
Parrassaurus yacahuitztli	species			late Tithonian	La Caja Formation		Rancho el sombrero, Sierra de Parras, Saltillo Municipality, Coahuila, Mexico	MX	BarrientosLara2021A		CPC 307	25.138611	-101.482778						
Besanosaurus leptorhynchus	species	242.03	241.5	Illyrian	Besano Formation	Nevadites secedensis Ammonite Biozone	Sasso Caldo, Besano, Lombardy, Italy	IT	Bindellini2021P		BES SC 1016	45.150002	9.233333						layer 70/96 Bindellini et at 2021 Tbl 1
Besanosaurus leptorhynchus	species	242.03	241.5	Illyrian	Besano Formation	Nevadites secedensis Ammonite Biozone	Valle Stelle, Canton Ticino, Switzerland	CH	Bindellini2021P		PIMUZ T 4376	45.91235	8.93917						layer 82/71 Bindellini et at 2021 Tbl 1
Besanosaurus leptorhynchus	species	242.03	241.5	Illyrian	Besano Formation	Nevadites secedensis Ammonite Biozone	Cava Tre Fontaine, Canton Ticino, Switzerland	CH	Bindellini2021P		PIMUZ T 4847, PIMUZ T 1895	45.91090	8.93695						layer 60/116 Bindellini et at 2021 Tbl 1
Besanosaurus leptorhynchus	species	242.03	241.5	Illyrian	Besano Formation	Nevadites secedensis Ammonite Biozone	unknown Swiss locality	CH	Bindellini2021P	1310774	GPIT 1793/1	45.91	8.95						unknown locality, prob. Monte San Giorgio, originally *Mikadocephalus gracilirostris*
Mixosauridae	clade			Ladinian	Blankmuten Member, Botneheia Formation		Edgeøya, Svalbard	SJ	Hurum2014NPDB		PMO 219.250	77.81328	21.55198						
Stenopterygius sp.	genus			Toarcian		Harpoceras serpentinum Ammonoid Biozone	LafargeHolcim Val d'Azergues Quarry, Beaujolais, France	FR	Martin2021GSLSP		MHNL 20103062	45.88102	4.66749						
Neoichthyosauria	clade			Toarcian		Harpoceras serpentinum Ammonoid Biozone	LafargeHolcim Val d'Azergues Quarry, Beaujolais, France	FR	Martin2021GSLSP		MHNL 20103364	45.88102	4.66749						
Baracromia	clade			upper Toarcian	Grandcourt Formation	Grammoceras thouarsense Ammonoid Biozone	Dudelange, Luxembourg	LU	Fischer2021P		NHMNL TM212	49.45	6.05						
Ichthyosauria	clade			upper Toarcian	Minette Ironstone Formation	Phlyseogrammoceras dispansum–Pleydellia aalensis ammonoid biozones	Halanzy, Belgium	BE	Fischer2021P		IRSNB Vert-00000-00801, IRSNB Vert-06659-0001, IRSNB R 438, IRSNB R 440	49.55477	5.75160						
Ichthyosauria	clade			upper Toarcian	Mont-Saint-Martin Formation	Phlyseogrammoceras dispansum–Pleydellia aalensis ammonoid biozones	Mont-Saint-Martin, Meurth-et-Moselle, France	FR	Fischer2021P		IRSNB Vert-06455-0001	49.54796	5.79104						
Parvipelvia	clade			upper Toarcian	Mont-Saint-Martin Formation	Phlyseogrammoceras dispansum–Pleydellia aalensis ammonoid biozones	Halanzy, Belgium	BE	Fischer2021P		ULg-PA 35.961, IRSNB Vert-00000-00800, IRSNB 00000-00804, IRSNB Vert-06462-0005, IRSNB R 436, IRSNB R 439, IRSNB R 437	49.55477	5.75160						
Parvipelvia	clade			upper Toarcian	Minette Ironstone Formation	Pleydellia aalensis Ammonoid biozone	Rodange, Luxembourg	LU	Fischer2021P		MNHNL DOU944, MNHNL DOU998, MNHNL DOU369, MNHNL DOU353, MNHNL DOU378	49.54383	5.84874						
Ichthyosauria	clade			upper Aalenian	marnes micacées	Graphoceras concavum Ammonoid Biozone	Rumelange, Luxembourg	LU	Fischer2021P		MNHNL HU242	49.45128	5.99339						
Ichthyosauria	clade			lower Bajocian	marnes sablueses d'Audun-le-Tiche	Stephanoceras humphriesianum Ammonoid Biozone	Rumelange, Luxembourg	LU	Fischer2021P		MNHNL BM360	49.45128	5.99339						
Parvipelvia	clade			lower Bajocian	marnes sablueses d'Audun-le-Tiche	Stephanoceras humphriesianum Ammonoid Biozone	Rumelange, Luxembourg	LU	Fischer2021P		MNHNL BM758, MNHNL BM725, MNHNL BM461, MNHNL BM392	49.45128	5.99339						
Ophthalmosauridae	clade			lower Bajocian	marnes sablueses d'Audun-le-Tiche	Stephanoceras humphriesianum Ammonoid Biozone	Rumelange, Luxembourg	LU	Fischer2021P		MNHNL BM780–BM781, MNHNL BM779	49.45128	5.99339						
Ophthalmosauridae	clade			Tithonian	Vaca Muerta Formation			AR	Talevi2021CR		MLP S/N								
Ophthalmosauridae	clade			Tithonian	Los Molles Formation	Puchenquia malaguensis Ammonoid Biozone	Quebrada Remoredo, Sierra de Reyes, Mendoza Province, Argentia	AR	Fernandez2003JVP,Talevi2021CR		MLP 92-III-2-1	-37	-69.75						
Caypullisaurus bonapartei	species			Tithonia	Vaca Muerta Formation		Cerro Lotena, Neuquén Province, Argentina	AR	Fernandez2005JVPa,Talevi2021CR		MLP 83-XI-15-1	-39.19444	-69.6675						
Platypterygiinae	clade			upper Valanginian	Agri Formation, Pilmatué Member	Pseudofavrella angulatiformis Ammonoid Biozone, Chacantuceras onrnatum Ammonoid Subbiozone	Pichaihue, Neuquén Province, Argentina	AR	Lazo2018CR,Talevi2021CR		MOZ-PV 6997	-37.783333	-70.216667						
Ichthyosauria	clade			upper Valanginian	Agri Formation, Pilmatué Member	Pseudofavrella angulatiformis Ammonoid Biozone, Decliveites crassicostatus Ammonoid Subbiozone	Agua de la Mula, Neuquén Province, Argentina	AR	Lazo2018CR		MOZ-PV 6986	-38.05	-70.05						
Ichthyosauria	clade			upper Valanginian	Agri Formation, Pilmatué Member	Pseudofavrella angulatiformis Ammonoid Biozone, Chacantuceras onrnatum Ammonoid Subbiozone	Casa Nuestra, Neuquén Province, Argentina	AR	Lazo2018CR		MOZ-PV 6998	-37.883333	-70.05						
Ichthyosauria	clade			upper Valanginian	Agri Formation, Pilmatué Member	Pseudofavrella angulatiformis Ammonoid Biozone, Decliveites crassicostatus Ammonoid Subbiozone	Casa Nuestra, Neuquén Province, Argentina	AR	Lazo2018CR		MOZ-PV 7000	-37.883333	-70.05						
Ichthyosauria	clade			lower Valanginian	Agri Formation, Pilmatué Member	Olcostephanus athersthoni Ammonoid Biozone, Viluceras permolestes Ammonoid Subbiozone	Casa Nuestra, Neuquén Province, Argentina	AR	Lazo2018CR		MOZ-PV 6999	-37.466667	-70.3						
Ichthyosauria	clade			Spathian	Osawa Formation		Sendai, Miyagi Prefecture, Japan	JP	Takahashi2014j		UMUT MV 31051	38.30672	140.72283						
Platypterygius australis	species			late Albian	Allaru Mudstone		Boree Park, Queensland Australia	AU	Vakil2021A	1006721	QM F10686	-20.86667	143.583328						
Platypterygius australis?	species			late Albian	Toolebuc Formation		Marathon Station, Richmond, Queensland Australia	AU	Vakil2021A	1006717	KMM R519 SA, KMM R519 I, KMM KKF0603, KMM RGC1, KMM RGC2, KMM RKI, KMM RIDV, QM18906	-20.86667	143.583328						
Thalassodraco etchesi	species			early Tithonian	Kimmeridge Clay Formation	Pectinatites pectinatus Ammonoid Biozone	Rope Lake Bay, Kimmeridge, Dorset, UK	GB	Jacobs2020PO		MJML K1174	50.597190	-2.097440						
Muiscasaurus catheti	species			upper Aptian	Paja Formation, Arcillolitas Abigarrdas Member	Dufrenoyia sanctorum-Stoyanowiceras Association Biozone	Loma La Catalina, 8 km SW of Villa de Leiva, Boyacá, Colombia	CO	ParamoFonseca2020CR		PCG-CBP-16	5.623857	-73.585198						
Temnodontosaurus crassimanus	species			Toarcian	Whitby Mudstone Formation, Alum Shale Member	Hildoceras bifron Ammonoid Biozone	Kettleness Alum Works, Whitby, Yorkshire, UK	GB	Swaby2020HB	1433356,1564995	YORYM:497	54.53255	-0.71509						
Temnodontosaurus	genus			Toarcian	Whitby Mudstone Formation	Hildoceras bifron Ammonoid Biozone	Hawsker Bottoms, Whitby, Yorkshire, UK	GB	Swaby2020HB		WHITM:SIM3546.S	54.46083	-0.55001						
Temnodontosaurus?	genus			Toarcian	Whitby Mudstone Formation, Alum Shale Member	Hildoceras bifron Ammonoid Biozone	Loftus Alum Quarries, Whitby, Yorkshire, UK	GB	Swaby2020HB		WHITM:SIM5	54.56952	-0.90474						
Temnodontosaurus zetlandicus	species			Toarcian	Whitby Mudstone Formation	Hildoceras bifron Ammonoid Biozone	Loftus Alum Quarries, Whitby, Yorkshire, UK	GB	Laboury2022ZJLS		CAMSM J35176	54.56952	-0.90474						
Temnodontosaurus cf. zetlandicus	species			lower Toarcian	Couches à Harpoceras falciferum, Schistes Carton	Harpoceras serpentinum Biozone, Cleviceras elegantuluem Subbiozone	Shouweiler, Luxembourg	LU	Laboury2022ZJLS		MNHNL TU885	49.56977	5.95003						
Ichthyosauria	clade			Upper Triassic	Westbury Formation		Bantycock and Staple Pits, Newark Nottinghamshire, UK	GB	Martill1986MGb		LEIUG 88987	53.042930	-0.79180443						
Guizhouichthyosaurus	genus			Ladinian	Zhuganpo Member, Falang Formation		Nimaigu, Wusha Town, Xingyi City, Guizhou Province, China	CN	Jiang2020iS		XNGM-WS-50-R4	25.15665	104.79606						
Eretmorhipis carrolldongi	species			Spathian	Third Member, Jialingjiang Formation		Hekou, Yuan'an County, Hubei Province, China	CN	Cheng2019SR		YAGM V 1401	31.26747	111.64682						
Eretmorhipis carrolldongi	species			Spathian	Third Member, Jialingjiang Formation		Yuan'an County, Hubei Province, China	CN	Cheng2019SR		YAGM V 1601	31.30125	111.61257						
Mixosaurus cornalianus	species			uppermost Anisian	Middle Besano Formation	Nevadites secedensis Ammonite Biozone	Sasso Caldo, Besano, Varese Province, Lombardy, Italy	IT	Renesto2020APP		BES SC 1000, BES SC 1001	45.150002	9.233333						
Maiaspondylus lindoei	species			lower–middle Albian	Loon River Formation		Hay River, Northwest Terretories, Canada	CA	Maxwell2006P,Zverkov2020CRa	915715	UALVP 45635, UALVP 45636	60.016667	-116.95						
Maiaspondylus lindoei	species			upper Albian	Cambridge Greensand Member, West Melbury Markly Chalk Formation		Cambridgeshire, UK	GB	Zverkov2020CRa		CAMSM B58048, CAMSM B58043, CAMSM TN1734, CAMSM TN1753, CAMSM TN1757, NHMUK R2342	52.343	0.043						locality based in centre Cambridgeshire
Maiaspondylus cantabridgiensis	species			upper Albian	Cambridge Greensand Member, West Melbury Markly Chalk Formation		Cambridgeshire, UK	GB	Fischer2014PO,Zverkov2020CRa		NHMUK 43989, NHMUK 32406, NHMUK R16, NHMUK 47268, CAMSM B58042, CAMSM B58050, CAMSM B58053, CAMSM B58055, CAMSM TN1727, CAMSM TN1755, IRSNB GS3, LEICT G65.1991, NHMUK R2343, NHMUK R4513, NHMUK 35348, IRSNB GS60	52.343	0.043						locality based in centre Cambridgeshire
Maiaspondylus cantabridgiensis	species			middle–upper Albian	Gault Formation	Leymeriella tardefurcata Biozone	Cambridgeshire, UK	GB	Fischer2014PO,Zverkov2020CRa		NHMUK R16, NHMUK R17	52.343	0.043						locality based in centre Cambridgeshire; included in M. catabridgiensis by association
Eretmorhipis carrolldongi	species			Spathian	Third Member, Jialingjiang Formation		Hekou, Yuan'an County, Hubei Province, China	CN	Cheng2019SR		YAGM V 1401	31.26747	111.64682						
Hauffiopteryx altera	species			lower Toarcian	Posidonienschiefer Formation, bed Lias εII4/5	Harpoceras faciferum Biozone, Haropoceras exaratum Subbiozone	Dotternhausen-Dormettingen, Baden-Württemberg, Germany	DE	Maxwell2020PE		FWD-129	48.22574	8.77464						
Hauffiopteryx typicus	species			upper Pliensbachian	Kondensiertes Pliensbachium	Amaltheus margaritatus Biozone	Hauenstein, Solothurn, Switzerland	CH	Maisch2006G,Maxwell2020OE	821443	NMO 26575	47.38290	7.87405						originally identified as Leptonectes cf. tenuirostris
Hauffiopteryx typicus	species			lower Toarcian	Posidonienschiefer Formation, bed Lias εII4/5	Harpoceras faciferum Biozone, Haropoceras exaratum Subbiozone	Dotternhausen-Dormettingen, Baden-Württemberg, Germany	DE	Maxwell2016P,Maxwell2020OE	1125587	GPIT 1491/4, GPIT/RE/12905, MHH 9, SMNS 51552, SMNS 80226	48.22574	8.77464						
Hauffiopteryx typicus	species			lower Toarcian	Junction Bed	Harpoceras faciferum Biozone	Strawberry Bank, Ilminster, Somerset, UK	GB	Caine2011P,Marek2015P,Maxwell2020PE		BRLSI M1399, BRLSI M1400, BRLSI M1401, BRLSI M1403-1404-1406	50.93	-2.91						
Ichthyosauria	clade			middle Oxfordian–upper Tithonian	Rosso Ammonitico Veronese Formation		Asiago, Altopiano de Asiago, Vicenza Province, Italy	IT	Serafini2020RIPS		V7101, V7102	45.89768	11.47988						
Nannopterygius enthekiodon	species			upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation		Kimmeridge Bay, Kimmeridge, Dorset, UK	GB	Moon2018MPS,Zverkov2020ZJLS	1134415	NHMUK 46497, NHMUK 46497a	50.61158	-2.13163						
Nannopterygius enthekiodon	species			upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation	Pectinatites hudlestoni Biozone	Clavells Hard, Kimmeridge Bay, Kimmeridge, Dorset, UK	GB	Zverkov2020ZJLS		MJML K 1776	50.60772	-2.13082						
Nannopterygius enthekiodon	species			upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation	Virgatospinctoides scitulus Biozone	Clavells Hard, Kimmeridge Bay, Kimmeridge, Dorset, UK	GB	Zverkov2020ZJLS		MJML K 2010	50.60772	-2.13082						
Nannopterygius enthekiodon	species			upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation	Pectinatites hudlestoni Biozone	Rope Lake Head, Kimmeridge Bay, Kimmeridge, Dorset, UK	GB	Moon2018MPS,Zverkov2020ZJLS,Naish2020		SOTUG 15181, SOTUG 15198, SOTUG 15348, SOTUG 16566, SOTUG 16663	50.59718	-2.10529						
Nannopterygius enthekiodon	species			upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation		Ely, Cambridge, Cambridgeshire, UK	GB	Zverkov2020ZJLS		CAMSM J29421, CAMSM J29422	52.386	0.253						
Nannopterygius enthekiodon	species			upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation		Shotover, Oxfordshire, UK	GB	Zverkov2020ZJLS		OUMNH J10346, OUMNH J10574/1-19, OUMNH 10360/a.b	51.746	-1.177						
Nannopterygius	genus			upper Kimmeridgian–lower Tithonian	Kimmeridge Clay Formation		Shotover, Oxfordshire, UK	GB	Zverkov2020ZJLS		OUMNH J48757, OUMNH J50333, OUMNH J48756	51.746	-1.177						
Nannopterygius	genus				Kimmeridge Clay Formation		Cumnor, Oxfordshire, UK	GB	Zverkov2020ZJLS		OUMNH J12031	51.730	-1.334						
Nannopterygius	genus				Kimmeridge Clay Formation?		St Helens, Abingdon, Oxfordshire, UK	GB	Zverkov2020ZJLS		OUMNH J68534, OUMNH J68535	51.668	-1.287						
Nannopterygius	genus				Kimmeridge Clay Formation?		Garsington, Oxfordshire, UK	GB	Zverkov2020ZJLS		OUMNH J54546	51.717	-1.154						
Nannopterygius	genus				Upper Kimmeridge Clay Formation?		Oday Common, Abingdon, Oxfordshire, UK	GB	Zverkov2020ZJLS		MJML J1174	51.651	-1.290						
Nannopterygius	genus				Kimmeridge Clay Formation?		Kimmeridge Bay, Kimmeridge, Dorset, UK	GB	Zverkov2020ZJLS		NHMUK uncatalogued	50.61158	-2.13163						possibly original material described as Enthekiodon
Nannopterygius saveljeviensis	species			middle Volgian		Virgatites virgatus Biozone	Brickworks Quarry, Gorny, Krasnopartisansky District, Saratov Region	RU	Zverkov2020ZJLS	1094596	SSU 104a-23	51.775	48.553						
Nannopterygius cf. saveljeviensis	species			middle Volgian		Dorsoplanites panderi Biozone	Saveljevsky Shale mine near Gorny, Krasnopartisansky District, Saratov Region	RU	Zverkov2020ZJLS		PRM 2836	51.775	48.553						
Nannopterygius yasykovi	species			middle Volgian		Epivirgatites nikitini Biozone	'Detskiy sanatorium' near Ulyanovsk, Volga Region, Russia	RU	Zverkov2020ZJLS		UPM EP-II-7	54.375	48.539						
Nannopterygius saveljeviensis	species			middle Volgian		Virgatites virgatus Biozone	near Ulyanovsk, Volga Region, Russia	RU	Zverkov2020ZJLS		UPM EP-II-9(1000)	54.157656	48.642742						
Nannopterygius saveljeviensis	species			middle Volgian		Epivirgatites nikitini Biozone	Kashpir, Samara Region, Russia	RU	Zverkov2020ZJLS		UPM EП-II-10(1160)	53.125519	48.827939						
Nannopterygius saveljeviensis	species			middle Volgian		Epivirgatites nikitini Biozone	near Ulyanovsk, Volga Region, Russia	RU	Zverkov2020ZJLS		UPM EP-II-17(864), UPM EP-II-16(1202), UPM EP-II-8(1076)	54.157656	48.642742						
Nannopterygius cf. saveljeviensis	species			middle Volgian		Dorsoplanites panderi Biozone	near Ulyanovsk, Volga Region, Russia	RU	Zverkov2020ZJLS		UPM EП-II-13(1151)	54.157656	48.642742						
Nannopterygius	genus			upper Volgian		Kachpurites fulgens Biozone	Lopatinsky Phosphate Mine, near Khorlovo village, Mosco Region, Russia	RU	Zverkov2020ZJLS		UPM EP-II-12(4-M)	55.32371	38.75296						
Nannopterygius yasykovi	species			upper Volgian		Kachpurites fulgens Biozone	Lopatinsky Phosphate Mine, near Khorlovo village, Mosco Region, Russia	RU	Zverkov2020ZJLS	1094597	UPM EP-II-11(3-M)	55.32371	38.75296						
Nannopterygius saveljeviensis	species			upper Volgian		Kachpurites fulgens Biozone	Slantsevy Rudnik near Ulyanovsk, Volga Region, Russia	RU	Zverkov2020ZJLS		UPM EP-II-15(153)	54.44893	48.39424						
Nannopterygius saveljeviensis	species			upper Volgian		Garniericeras catenulatum BioZone, Craspedites subdites Biozone	'Detskiy sanatorium' near Ulyanovsk, Volga Region, Russia	RU	Zverkov2020ZJLS		UPM EP-II-14(881)	54.375	48.539						
Nannopterygius cf. yasykovi	species			middle Volgian		Virgatites virgatus Biozone	Lopatinsky Phosphate Mine, near Khorlovo village, Mosco Region, Russia	RU	Zverkov2020ZJLS		SGM 0846-03	55.32371	38.75296						
Nannopterygius cf. yasykovi	species			middle Volgian		Virgatites virgatus–Epivirgatites nikitini biozones	Ramensky Mining Quarry, Ramensky District, Mosco Region, Russia	RU	Zverkov2020ZJLS		SGM 1674-02	55.40734	38.23463						
Nannopterygius cf. saveljeviensis	species			middle Volgian		Dorsoplanites panderi Biozone	Kutseba Saratov Region, Russia	RU	Zverkov2020ZJLS		SGM tem-11	51.75918	50.64666						
Nannopterygius borealis	species			Berriasian	Hofer Formation	Hectoroceras kochi Biozone	Berghaus Island, Franz Joseph Land	RU	Zverkov2020ZJLS		CCMGE 45-46/13328	80.288	58.83205						location at centre Berghaus Island
Nannopterygius borealis	species			uppermost Volgian	Slottsmøya Member, Agardfjellet Formation		North side of Janusfjellet, Spitsbergen, Svalbard	SJ	Delsett2018P,Zverkov2020ZJLS		PMO 222.658	78.33657	15.83501	UTM WGS84 33X 0518844 8696066					location at centre Berghaus Island
